Date,Close
13-12-2022,17778.6
14-12-2022,17796.4
15-12-2022,17356.1
16-12-2022,16629.6
17-12-2022,16777.1
18-12-2022,16741.1
19-12-2022,16441.3
20-12-2022,16902.8
21-12-2022,16831.8
22-12-2022,16820.6
23-12-2022,16779.1
24-12-2022,16837.2
25-12-2022,16831.8
26-12-2022,16918.1
27-12-2022,16706.1
28-12-2022,16546.2
29-12-2022,16636.4
30-12-2022,16607.2
31-12-2022,16537.4
01-01-2023,16618.4
02-01-2023,16674.3
03-01-2023,16674.2
04-01-2023,16852.1
05-01-2023,16829.8
06-01-2023,16950.9
07-01-2023,16943.6
08-01-2023,17119.0
09-01-2023,17180.1
10-01-2023,17439.1
11-01-2023,17942.3
12-01-2023,18851.3
13-01-2023,19927.0
14-01-2023,20958.2
15-01-2023,20879.8
16-01-2023,21184.2
17-01-2023,21137.1
18-01-2023,20670.6
19-01-2023,21081.2
20-01-2023,22677.2
21-01-2023,22775.7
22-01-2023,22707.8
23-01-2023,22915.5
24-01-2023,22632.5
25-01-2023,23055.1
26-01-2023,23016.0
27-01-2023,23074.6
28-01-2023,23027.9
29-01-2023,23753.1
30-01-2023,22832.2
31-01-2023,23125.1
01-02-2023,23725.6
02-02-2023,23427.6
03-02-2023,23431.2
04-02-2023,23323.8
05-02-2023,22936.0
06-02-2023,22761.8
07-02-2023,23251.7
08-02-2023,22964.6
09-02-2023,21792.5
10-02-2023,21635.0
11-02-2023,21859.8
12-02-2023,21786.8
13-02-2023,21772.6
14-02-2023,22198.5
15-02-2023,24327.9
16-02-2023,23539.6
17-02-2023,24573.5
18-02-2023,24631.4
19-02-2023,24302.9
20-02-2023,24839.5
21-02-2023,24450.7
22-02-2023,24186.6
23-02-2023,23936.3
24-02-2023,23191.5
25-02-2023,23166.1
26-02-2023,23558.7
27-02-2023,23494.1
28-02-2023,23130.5
01-03-2023,23642.2
02-03-2023,23465.4
03-03-2023,22354.4
04-03-2023,22347.1
05-03-2023,22428.3
06-03-2023,22410.0
07-03-2023,22197.8
08-03-2023,21710.8
09-03-2023,20361.8
10-03-2023,20156.7
11-03-2023,20467.5
12-03-2023,21994.8
13-03-2023,24114.4
14-03-2023,24699.7
15-03-2023,24282.7
16-03-2023,25004.1
17-03-2023,27391.8
18-03-2023,26914.5
19-03-2023,27958.7
20-03-2023,27720.5
21-03-2023,28114.0
22-03-2023,27261.7
23-03-2023,28310.7
24-03-2023,27462.2
25-03-2023,27475.6
26-03-2023,27973.5
27-03-2023,27129.8
28-03-2023,27262.2
29-03-2023,28350.4
30-03-2023,28029.5
31-03-2023,28473.7
01-04-2023,28456.1
02-04-2023,28198.3
03-04-2023,27802.1
04-04-2023,28164.4
05-04-2023,28173.5
06-04-2023,28036.7
07-04-2023,27910.4
08-04-2023,27941.2
09-04-2023,28326.6
10-04-2023,29641.0
11-04-2023,30209.6
12-04-2023,29886.4
13-04-2023,30387.4
14-04-2023,30472.5
15-04-2023,30299.6
